Timestamp,OrganizationName,OrganizationType,Role,OrganizationSize,IT_Size,CustomerOrganizationType,EstimatedDurationInMonths,ActualdurationInMonths,SoftwareType,DomainApplication,EstimatedCost,ActualCost,SoftwareComplextity,ProjectMethodology,ProgrammingLanguage,DBMSoftware,FactorInfluence,OverallSatisfactionOfDevelopers,AvailabilityOfSkilledDeveloper,SkillsUtilized,CommunicationAmongTeam,IncomeSatisfaction,ResourceContribution,Challenges,MarketTrend,PressureToMeetDeadline,UserSatisfactionLevel,UserEngagement,UserFeedback,ChallengesEncountered,AdditionalInformation,ProjectManagement ToolImpact
2/29/2024 20:02,Identiko solutions ,Private Software Company,Software Engineer,Jan-50,20 - 50,Department of a private company,3,3,New Software Development,Web Application,"₦1,000,000","₦750,000",6,Agile,"JavaScript, HTML/Javascript / PHP, Reactjs, Nextjs, NodeJs",MYSQL,"Team composition and expertise, External dependencies and integrations",Very satisfied,Abundant,"Somewhat, but there is room for improvement",Good,Unsatisfied,Labor/Development,Minor challenges,Moderately,"Yes, occasionally",Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback","Nigerians don't like paying well, they price too much",,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
3/1/2024 15:21,Building you,Software development agency,Software Engineer,Jan-50,10-Jan,Any businesses and brands,6,8,All of the above,Web and mobile applications,"₦10,000,000","₦10,000,000",8,Agile,Typescript/PHP,MYSQL,"Project scope and requirements, Team composition and expertise",Neutral,Abundant,"Yes, skills are utilized effectively",Good,Normal,Labor/Development,Minor challenges,Minimally,"Yes, consistently",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback","1. Difficulty paying for international third party software services: we addressed this by changing the third party services to be used, which affected the estimated cost of the software development.

2. Accurate project time estimation: Most time projects take a little lesser a longer to complete which affects the software cost Estimation.

3. Exchange rate: The unstable exchange rate and purchasing of software services using dollars afftected the the software cost Estimation..","So i will be glad you understand that we have worked on multiple softwares as an agency, so i am using one(1) as a case study to answer the questions above, Nessvie, a software to help healthcare professionals find and fill shifts of healthcare organisations.","We had limited use of project management tools and techniques, and their impact on cost estimation accuracy was minimal"
3/10/2024 9:43,Nupat Technologies ,Private Software Company,Quality Assurance Engineer,Jan-50,20 - 50,Department of a private company,6,5,New Software Development,Mobile Application,"₦7,000,000","₦5,000,000",7,Agile,"Python, Java, JavaScript, . C#, HTML/Javascript / PHP",MYSQL,"Project scope and requirements, Technology stack and complexity, External dependencies and integrations",Satisfied,Abundant,"Yes, skills are utilized effectively",Excellent,Normal,Labor/Development,Minor challenges,Moderately,"Yes, consistently",Satisfied,"Highly engaged, frequent usage","Yes, mixed feedback",,,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
3/10/2024 10:26,GenzTech,Private Software Company,Software Engineer,100 - 500,20 - 50,Department of a private company,5,3,Modifying Existing Software,Web Application,"₦1,000,000","₦1,000,000",5,Hybrid Methodology,JavaScript,Mongodb,Technology stack and complexity,Very satisfied,Abundant,"Yes, skills are utilized effectively",Excellent,Very Satisfied,Labor/Development,No challenges,Significantly,"Yes, consistently",Very satisfied,"Highly engaged, frequent usage","Yes, positive feedback",I face them,No,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
3/10/2024 10:57,Interswitch,Private Software Company,Software Engineer,> 500,> 50,Bank,2,3,Upgrading Existing Software,Banking System,"₦1,500,000","₦2,000,000",9,Agile,"JavaScript, HTML/Javascript / PHP",MYSQL,Project scope and requirements,Satisfied,Abundant,"Yes, skills are utilized effectively",Excellent,Satisfied,Infrastructure,Minor challenges,Moderately,"Yes, occasionally",Very satisfied,"Highly engaged, frequent usage","Yes, mixed feedback","The main challenges in the software cost estimation are incomplete requirements and changing project scope. To address these, we used thorough requirement analysis, implement change management processes, and employ estimation techniques that account for uncertainties.",,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
3/10/2024 21:21,CodeLines Technology Solutions LTD ,Private Software Company,Software Engineer,Jan-50,20-Oct,Department of a private company,6,6,New Software Development,Web Application,"₦2,000,000","₦2,000,000",8,Agile,HTML/Javascript / PHP,MYSQL,External dependencies and integrations,Very satisfied,Abundant,"Yes, skills are utilized effectively",Excellent,Very Satisfied,Labor/Development,No challenges,Significantly,"Yes, occasionally",Very satisfied,"Moderately engaged, occasional usage","Yes, positive feedback","Price hikes, projections ",,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
3/11/2024 21:48,fleekspace,Public software company,Software Engineer,Jan-50,10-Jan,Public Company,2,2,New Software Development,Web Application,"₦700,000","₦300,000",7,Agile,JavaScript,Mongo DB,"Project scope and requirements, Technology stack and complexity, Team composition and expertise, External dependencies and integrations",Satisfied,Moderate,"Somewhat, but there is room for improvement",Good,Normal,Labor/Development,Minor challenges,Moderately,"Yes, occasionally",Very satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",Getting exactly what the client wants ,No,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
5/10/2024 18:25,RCCG DTCE,Corporate IT department,Software Engineer,Jan-50,10-Jan,In-house Development,4,3,Upgrading Existing Software,Web Application,"₦700,000","₦570,000",8,Agile,"JavaScript, HTML/Javascript / PHP",MYSQL,"Project scope and requirements, Technology stack and complexity, Team composition and expertise",Satisfied,Moderate,"Somewhat, but there is room for improvement",Good,Normal,Infrastructure,Minor challenges,Minimally,"Yes, occasionally",Neutral,"Moderately engaged, occasional usage","Yes, mixed feedback",Unwillingness of stakeholders to accept quality decisions made by developers because they are usually more expensive,,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
5/30/2024 19:08,EOA STUDIOS ,Freelancer,UI / UX Designer,Jan-50,10-Jan,Public Company,10,11,New Software Development,Web Application,"₦10,000,000","₦9,780,000",8,WaterFall,Java,,Technology stack and complexity,Satisfied,Scarce,"Yes, skills are utilized effectively",Excellent,Satisfied,Infrastructure,Significant challenges,Moderately,"Yes, consistently",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",,,"We used project management tools and techniques to some extent, and they moderately improved our cost estimation accuracy"
6/6/2024 9:55,Power From The Other Side,Solar technology and installation company ,Trainee,Jan-50,10-Jan,Department of a private company,6,6,Maintenance of Existing Software,Web Application,"₦500,000","₦500,000",5,Agile,HTML/Javascript / PHP,MYSQL,Team composition and expertise,Neutral,Moderate,"Yes, skills are utilized effectively",Good,Normal,Labor/Development,Minor challenges,Significantly,"Yes, occasionally",Satisfied,"Moderately engaged, occasional usage","Yes, mixed feedback",,,"We extensively utilized project management tools and techniques, and they significantly improved our cost estimation accuracy"
